timestamp,depth_target,depth_actual,error,pid_output,thrust_x,thrust_y,thrust_z,obstacle,acao
1751566294.569019,1.3,0.666,0.634,0.5060438882671708,0.4,0.0,0.5060438882671708,False,
1751566294.755311,1.3,0.667,0.633,0.5053377232860823,0.4,0.0,0.5053377232860823,False,
1751566294.90521,1.3,0.672,0.628,0.4956836330445644,0.4,0.0,0.4956836330445644,False,
1751566295.0934048,1.3,0.674,0.626,0.4986809690049764,0.4,0.0,0.4986809690049764,False,
1751566295.411978,1.3,0.68,0.62,0.4921610192606333,0.4,0.0,0.4921610192606333,False,
1751566295.7031956,1.3,0.682,0.618,0.4930517740390488,0.4,0.0,0.4930517740390488,False,
1751566295.867477,1.3,0.679,0.621,0.5004410469204392,0.4,0.0,0.5004410469204392,False,
1751566296.0722299,1.3,0.677,0.623,0.5003957361717617,0.4,0.0,0.5003957361717617,False,
1751566296.2033095,1.3,0.674,0.626,0.5052641388742544,0.4,0.0,0.5052641388742544,False,
1751566296.4058619,1.3,0.672,0.628,0.5043653253457755,0.4,0.0,0.5043653253457755,False,
1751566296.5530436,1.3,0.667,0.633,0.5131935833311738,0.4,0.0,0.5131935833311738,False,
1751566296.7464218,1.3,0.665,0.635,0.5100684828280039,0.4,0.0,0.5100684828280039,False,
1751566297.0160077,1.3,0.661,0.639,0.5141562386457545,0.4,0.0,0.5141562386457545,False,
1751566297.2047417,1.3,0.659,0.641,0.5149419782498232,0.4,0.0,0.5149419782498232,False,
1751566297.3948996,1.3,0.659,0.641,0.5128,0.4,0.0,0.5128,False,
1751566297.674669,1.3,0.66,0.64,0.5112903255061606,0.4,0.0,0.5112903255061606,False,
1751566297.8587294,1.3,0.66,0.64,0.512,0.4,0.0,0.512,False,
1751566298.0482073,1.3,0.66,0.64,0.512,0.4,0.0,0.512,False,
1751566298.1882284,1.3,0.658,0.642,0.5164980998576622,0.4,0.0,0.5164980998576622,False,
1751566298.8304455,1.3,0.657,0.643,0.514710458525999,0.4,0.0,0.514710458525999,False,
1751566299.097131,1.3,0.662,0.638,0.5066500701831558,0.4,0.0,0.5066500701831558,False,
1751566299.333223,1.3,0.673,0.627,0.49228241148387203,0.4,0.0,0.49228241148387203,False,
1751566299.5178106,1.3,0.688,0.6120000000000001,0.47325925616174913,0.4,0.0,0.47325925616174913,False,
1751566299.7674625,1.3,0.693,0.6070000000000001,0.4816104364136861,0.4,0.0,0.4816104364136861,False,
1751566299.9860108,1.3,0.705,0.5950000000000001,0.46499446942637773,0.4,0.0,0.46499446942637773,False,
1751566300.7546806,1.3,0.688,0.6120000000000001,0.4940146208470434,0.4,0.0,0.4940146208470434,False,
1751566300.9821875,1.3,0.686,0.614,0.49296615659292065,0.4,0.0,0.49296615659292065,False,
1751566301.1668532,1.3,0.677,0.623,0.5081474955198753,0.4,0.0,0.5081474955198753,False,
1751566301.405362,1.3,0.675,0.625,0.5016799811746799,0.4,0.0,0.5016799811746799,False,
1751566301.6501641,1.3,0.673,0.627,0.5032447847846867,0.4,0.0,0.5032447847846867,False,
1751566301.8183546,1.3,0.674,0.626,0.4996249850472395,0.4,0.0,0.4996249850472395,False,
1751566302.0277193,1.3,0.676,0.624,0.4972895252627624,0.4,0.0,0.4972895252627624,False,
1751566302.2883112,1.3,0.747,0.553,0.3881215272562902,0.4,0.0,0.3881215272562902,False,
1751566302.4652784,1.3,0.713,0.5870000000000001,0.5083559343406894,0.4,0.0,0.5083559343406894,False,
1751566302.675627,1.3,0.736,0.5640000000000001,0.4294348075248293,0.4,0.0,0.4294348075248293,False,
1751566302.8022318,1.3,0.85,0.45000000000000007,0.1791751402558358,0.4,0.0,0.1791751402558358,False,
1751566303.0152867,1.3,0.822,0.4780000000000001,0.4088053673891538,0.4,0.0,0.4088053673891538,False,
1751566303.3010542,1.3,0.751,0.549,0.4895225615881752,0.4,0.0,0.4895225615881752,False,
1751566303.4764946,1.3,0.721,0.5790000000000001,0.4967191698333354,0.4,0.0,0.4967191698333354,False,
1751566303.7333565,1.3,0.691,0.6090000000000001,0.5105600891116682,0.4,0.0,0.5105600891116682,False,
1751566304.0171614,1.3,0.669,0.631,0.5202762539539845,0.4,0.0,0.5202762539539845,False,
1751566304.298582,1.3,0.662,0.638,0.5153653942617475,0.4,0.0,0.5153653942617475,False,
1751566304.458768,1.3,0.657,0.643,0.5206432146801664,0.4,0.0,0.5206432146801664,False,
1751566304.7160883,1.3,0.656,0.644,0.5159772101585901,0.4,0.0,0.5159772101585901,False,
1751566304.946736,1.3,0.657,0.643,0.5135327945912139,0.4,0.0,0.5135327945912139,False,
1751566305.14686,1.3,0.708,0.5920000000000001,0.4226376175727833,0.4,0.0,0.4226376175727833,False,
1751566305.3182266,1.3,0.697,0.6030000000000001,0.4951625918902809,0.4,0.0,0.4951625918902809,False,
1751566305.4692087,1.3,0.68,0.62,0.5188219432997526,0.4,0.0,0.5188219432997526,False,
1751566305.650572,1.3,0.681,0.619,0.49409964255403993,0.4,0.0,0.49409964255403993,False,
1751566305.9364133,1.3,0.687,0.613,0.48622533432312165,0.4,0.0,0.48622533432312165,False,
1751566306.1074765,1.3,0.652,0.648,0.5593205523135483,0.4,0.0,0.5593205523135483,False,
1751566306.3588417,1.3,0.649,0.651,0.5231921431151499,0.4,0.0,0.5231921431151499,False,
1751566306.6091876,1.3,0.642,0.658,0.5320207123111442,0.4,0.0,0.5320207123111442,False,
1751566306.7644463,1.3,0.664,0.636,0.4807126441469892,0.4,0.0,0.4807126441469892,False,
1751566306.9680288,1.3,0.658,0.642,0.519482401175273,0.4,0.0,0.519482401175273,False,
1751566307.0979767,1.3,0.646,0.654,0.54181584051485,0.4,0.0,0.54181584051485,False,
1751566307.3483233,1.3,0.643,0.657,0.5280016467895906,0.4,0.0,0.5280016467895906,False,
1751566307.5760353,1.3,0.642,0.658,0.5272760856805674,0.4,0.0,0.5272760856805674,False,
1751566307.7573469,1.3,0.631,0.669,0.5474046295083875,0.4,0.0,0.5474046295083875,False,
1751566307.9624517,1.3,0.632,0.668,0.5334320036464555,0.4,0.0,0.5334320036464555,False,
1751566308.2493846,1.3,0.637,0.663,0.526896337877573,0.4,0.0,0.526896337877573,False,
1751566308.4045875,1.3,0.645,0.655,0.5136916404255515,0.4,0.0,0.5136916404255515,False,
1751566308.6197839,1.3,0.646,0.654,0.5222603768301329,0.4,0.0,0.5222603768301329,False,
1751566308.8924394,1.3,0.651,0.649,0.5155833508231721,0.4,0.0,0.5155833508231721,False,
1751566309.070876,1.3,0.659,0.641,0.5038024972481469,0.4,0.0,0.5038024972481469,False,
1751566309.2371001,1.3,0.655,0.645,0.5208093129252384,0.4,0.0,0.5208093129252384,False,
1751566309.3946998,1.3,0.649,0.651,0.5284147927597539,0.4,0.0,0.5284147927597539,False,
1751566309.5983748,1.3,0.649,0.651,0.5208,0.4,0.0,0.5208,False,
1751566309.7374582,1.3,0.647,0.653,0.5252863481293258,0.4,0.0,0.5252863481293258,False,
1751566309.9264019,1.3,0.645,0.655,0.5261169641381277,0.4,0.0,0.5261169641381277,False,
1751566310.0640075,1.3,0.642,0.658,0.5307284647654038,0.4,0.0,0.5307284647654038,False,
1751566310.3156798,1.3,0.642,0.658,0.5264000000000001,0.4,0.0,0.5264000000000001,False,
1751566310.5474658,1.3,0.671,0.629,0.4781713588452259,0.4,0.0,0.4781713588452259,False,
1751566310.7213223,1.3,0.663,0.637,0.518800065255628,0.4,0.0,0.518800065255628,False,
1751566310.915391,1.3,0.664,0.636,0.5077748098683897,0.4,0.0,0.5077748098683897,False,
1751566311.0435789,1.3,0.655,0.645,0.530153953678464,0.4,0.0,0.530153953678464,False,
1751566311.2463531,1.3,0.665,0.635,0.49806749305260367,0.4,0.0,0.49806749305260367,False,
1751566311.377279,1.3,0.645,0.655,0.5546985462430126,0.4,0.0,0.5546985462430126,False,
1751566311.6163192,1.3,0.645,0.655,0.524,0.4,0.0,0.524,False,
1751566311.8430784,1.3,0.661,0.639,0.49715170116872265,0.4,0.0,0.49715170116872265,False,
1751566312.0255344,1.3,0.67,0.63,0.49413460869019804,0.4,0.0,0.49413460869019804,False,
