Frame,Elapsed_Time(s),Centroide_X,Centroide_Y,Erro_X,Erro_Y,PID_Lateral_Output,PID_Vertical_Output
461,65.39,187,85,235.0,53.0,197.72,77.13
462,65.54,146,65,255.0,94.0,230.96,130.46
463,65.67,134,59,261.0,106.0,218.15,103.49
464,65.82,112,42,278.0,128.0,245.22,131.94
467,66.25,288,3,317.0,-48.0,271.50,-119.19
669,93.48,7,634,-314.0,233.0,-255.83,188.46
687,95.90,0,487,-167.0,240.0,-121.43,192.58
703,97.79,19,352,-32.0,221.0,-11.29,174.79
709,98.54,405,309,11.0,-165.0,20.27,-234.99
712,98.92,401,345,-25.0,-161.0,-38.53,-126.74
713,99.03,412,356,-36.0,-172.0,-49.77,-158.57
722,100.14,385,344,-24.0,-145.0,-17.03,-111.12
723,100.26,388,356,-36.0,-148.0,-48.78,-123.40
727,100.76,350,362,-42.0,-110.0,-35.98,-72.95
728,100.89,349,363,-43.0,-109.0,-35.92,-85.68
729,101.00,363,373,-53.0,-123.0,-60.32,-123.49
730,101.12,379,389,-69.0,-139.0,-82.20,-138.20
731,101.26,404,417,-97.0,-164.0,-119.03,-168.19
732,101.38,449,452,-132.0,-209.0,-163.25,-241.32
733,101.49,454,437,-117.0,-214.0,-67.27,-179.98
734,101.62,452,433,-113.0,-212.0,-83.98,-166.39
735,101.74,448,438,-118.0,-208.0,-102.21,-160.15
739,102.24,241,404,-84.0,-1.0,-53.61,81.96
740,102.35,226,399,-79.0,14.0,-53.89,39.12
741,102.49,218,375,-55.0,22.0,-7.87,29.64
742,102.60,221,440,-120.0,19.0,-211.22,9.88
743,102.75,237,484,-164.0,3.0,-188.37,-18.39
744,102.92,263,527,-207.0,-23.0,-217.32,-49.67
745,103.05,315,558,-238.0,-75.0,-238.71,-141.04
746,103.15,405,588,-268.0,-165.0,-271.28,-302.63
747,103.29,445,593,-273.0,-205.0,-225.58,-221.46
749,103.54,454,558,-238.0,-214.0,-162.46,-178.38
750,103.65,445,546,-226.0,-205.0,-158.06,-146.95
751,103.80,427,546,-226.0,-187.0,-180.80,-125.27
752,103.91,413,542,-222.0,-173.0,-170.62,-113.96
753,104.03,416,455,-135.0,-176.0,34.02,-145.70
754,104.15,432,526,-206.0,-192.0,-288.65,-181.51
755,104.28,474,572,-252.0,-234.0,-272.28,-251.73
756,104.41,345,510,-190.0,-105.0,-55.73,116.31
757,104.53,474,472,-152.0,-234.0,-61.82,-390.14
758,104.64,348,379,-59.0,-108.0,134.18,159.33
759,104.77,348,417,-97.0,-108.0,-134.57,-86.40
760,104.90,336,359,-39.0,-96.0,59.96,-57.94
761,105.01,349,358,-38.0,-109.0,-28.63,-110.19
762,105.14,356,353,-33.0,-116.0,-18.69,-103.59
763,105.26,368,350,-30.0,-128.0,-19.20,-121.60
764,105.40,382,354,-34.0,-142.0,-33.32,-135.02
765,105.50,459,379,-59.0,-219.0,-93.59,-318.09
766,105.66,454,265,55.0,-214.0,193.62,-164.64
767,105.78,462,322,-2.0,-222.0,-90.27,-190.04
768,105.93,452,319,1.0,-212.0,4.78,-156.34
769,106.08,446,329,-9.0,-206.0,-21.12,-156.45
770,106.18,450,330,-10.0,-210.0,-10.00,-176.00
771,106.33,457,331,-11.0,-217.0,-10.10,-182.73
772,106.50,453,335,-15.0,-213.0,-16.83,-165.57
773,106.63,422,329,-9.0,-182.0,1.97,-98.20
774,106.74,413,320,0.0,-173.0,15.76,-122.64
775,106.88,439,253,67.0,-199.0,148.88,-196.17
776,106.98,456,314,6.0,-216.0,-124.53,-208.84
777,107.08,455,254,66.0,-215.0,166.20,-170.11
778,107.21,435,258,62.0,-195.0,43.07,-123.33
779,107.35,422,335,-15.0,-182.0,-119.65,-127.43
780,107.48,422,329,-9.0,-182.0,1.66,-145.60
781,107.65,433,267,53.0,-193.0,118.90,-167.97
782,107.75,475,346,-26.0,-235.0,-175.66,-270.33
783,107.87,419,241,79.0,-179.0,239.97,-48.92
784,108.01,456,350,-30.0,-216.0,-178.71,-225.32
786,108.24,454,321,-1.0,-214.0,24.64,-169.45
787,108.38,451,322,-2.0,-211.0,-3.01,-164.57
788,108.51,472,349,-29.0,-232.0,-64.84,-217.99
789,108.64,441,349,-29.0,-201.0,-23.20,-114.43
790,108.75,469,243,77.0,-229.0,265.23,-236.99
791,108.89,349,309,11.0,-109.0,-82.84,79.42
792,109.00,410,346,-26.0,-170.0,-89.23,-248.82
793,109.12,381,331,-11.0,-141.0,14.75,-67.26
794,109.32,382,331,-11.0,-142.0,-8.80,-114.65
795,109.46,450,365,-45.0,-210.0,-84.72,-265.43
796,109.57,465,368,-48.0,-225.0,-43.42,-205.10
797,109.69,468,370,-50.0,-228.0,-43.40,-187.49
798,109.82,463,369,-49.0,-223.0,-37.67,-170.74
799,109.93,452,373,-53.0,-212.0,-49.98,-148.77
800,110.07,414,338,-18.0,-174.0,34.44,-86.17
801,110.20,409,279,41.0,-169.0,125.63,-127.33
802,110.34,397,277,43.0,-157.0,37.19,-108.85
803,110.46,358,344,-24.0,-118.0,-134.78,-27.12
804,110.58,351,346,-26.0,-111.0,-24.03,-77.48
805,110.69,339,341,-21.0,-99.0,-7.15,-56.04
806,110.82,379,391,-71.0,-139.0,-130.96,-170.53
807,110.93,329,373,-53.0,-89.0,-10.18,18.30
808,111.05,304,358,-38.0,-64.0,-4.34,-7.77
809,111.23,283,347,-27.0,-43.0,-9.54,-11.38
810,111.37,273,346,-26.0,-33.0,-19.33,-11.71
811,111.49,272,349,-29.0,-32.0,-27.90,-24.03
813,111.73,325,312,8.0,-85.0,37.18,-112.09
814,111.88,330,331,-11.0,-90.0,-34.81,-78.85
815,112.03,250,426,-106.0,-10.0,-212.36,99.42
816,112.19,264,463,-143.0,-24.0,-160.04,-36.47
817,112.32,288,504,-184.0,-48.0,-209.31,-74.76
818,112.44,310,530,-210.0,-70.0,-211.20,-92.55
819,112.55,393,590,-270.0,-153.0,-324.99,-273.17
820,112.68,406,582,-262.0,-166.0,-197.36,-152.68
821,112.80,427,588,-268.0,-187.0,-225.25,-187.57
822,112.91,438,591,-271.0,-198.0,-221.90,-177.10
823,113.03,430,597,-277.0,-190.0,-231.79,-138.41
824,113.18,410,605,-285.0,-170.0,-238.50,-109.75
825,113.32,414,529,-209.0,-174.0,-55.82,-145.06
826,113.44,390,535,-215.0,-150.0,-181.60,-81.61
827,113.57,358,537,-217.0,-118.0,-176.70,-44.86
828,113.71,328,536,-216.0,-88.0,-171.32,-25.97
829,113.85,288,536,-216.0,-48.0,-172.80,20.12
830,113.98,248,535,-215.0,-8.0,-170.53,52.24
831,114.13,216,533,-213.0,24.0,-167.68,62.69
832,114.24,193,529,-209.0,47.0,-160.11,78.37
833,114.35,61,603,-283.0,179.0,-361.63,384.41
834,114.47,41,599,-279.0,199.0,-216.65,191.93
835,114.62,31,601,-281.0,209.0,-227.59,181.14
836,114.74,27,603,-283.0,213.0,-229.60,176.80
837,114.86,168,541,-221.0,72.0,-74.33,-175.43
838,114.98,48,14,306.0,192.0,1108.94,350.37
839,115.11,28,13,307.0,212.0,247.24,202.45
840,115.22,10,22,298.0,230.0,222.85,215.09
841,115.35,9,30,290.0,231.0,219.01,186.42
842,115.46,6,62,258.0,234.0,148.64,192.61
843,115.62,318,576,-256.0,-78.0,-848.57,-453.17
844,115.71,345,580,-260.0,-105.0,-216.32,-140.18
845,115.88,325,575,-255.0,-85.0,-198.04,-44.16
846,116.01,353,565,-245.0,-113.0,-180.59,-133.54
847,116.13,358,563,-243.0,-118.0,-191.01,-102.88
848,116.26,370,559,-239.0,-130.0,-185.32,-121.64
849,116.37,366,561,-241.0,-126.0,-196.49,-93.41
850,116.49,364,559,-239.0,-124.0,-187.90,-95.90
851,116.60,356,568,-248.0,-116.0,-215.47,-77.63
852,116.73,359,556,-236.0,-119.0,-170.25,-99.84
853,116.84,272,597,-277.0,-32.0,-297.30,135.04
854,116.98,296,626,-306.0,-56.0,-286.41,-79.24
855,117.09,259,590,-270.0,-19.0,-152.71,49.85
856,117.22,267,565,-245.0,-27.0,-158.73,-33.53
857,117.33,260,627,-307.0,-20.0,-358.56,-3.25
858,117.46,141,541,-221.0,99.0,-43.24,264.01
859,117.58,112,536,-216.0,128.0,-164.40,151.09
860,117.70,74,539,-219.0,166.0,-180.30,197.36
861,117.83,127,609,-289.0,113.0,-340.92,7.33
862,117.95,117,605,-285.0,123.0,-221.60,114.41
863,118.07,123,609,-289.0,117.0,-238.02,83.38
864,118.20,134,617,-297.0,106.0,-249.85,67.96
865,118.33,120,583,-263.0,120.0,-159.38,117.01
866,118.47,143,602,-282.0,97.0,-252.84,44.62
867,118.58,170,618,-298.0,70.0,-268.23,5.66
868,118.70,188,626,-306.0,52.0,-257.68,12.62
869,118.85,202,636,-316.0,38.0,-266.95,10.59
888,121.24,113,635,-315.0,127.0,-251.92,109.05
889,121.38,106,633,-313.0,134.0,-247.63,116.89
890,121.50,120,626,-306.0,120.0,-233.12,72.63
891,121.59,127,624,-304.0,113.0,-238.99,75.67
892,121.69,138,619,-299.0,102.0,-229.07,59.32
893,121.84,154,609,-289.0,86.0,-217.29,46.55
894,121.95,169,598,-278.0,71.0,-202.09,29.11
895,122.07,316,617,-297.0,-76.0,-268.38,-298.97
896,122.19,314,602,-282.0,-74.0,-200.84,-55.90
897,122.32,310,589,-269.0,-70.0,-194.84,-49.74
898,122.44,308,581,-261.0,-68.0,-195.63,-51.11
899,122.59,160,609,-289.0,80.0,-267.33,254.95
900,122.72,308,617,-297.0,-68.0,-250.39,-291.09
901,122.84,314,606,-286.0,-74.0,-210.90,-68.97
902,122.99,184,590,-270.0,56.0,-194.25,221.53
903,123.12,175,582,-262.0,65.0,-197.71,65.38
904,123.25,162,579,-259.0,78.0,-202.45,82.99
905,123.39,148,571,-251.0,92.0,-189.14,94.00
906,123.53,130,558,-238.0,110.0,-172.50,112.79
907,123.63,98,534,-214.0,142.0,-120.99,180.55
909,123.86,70,478,-158.0,170.0,-77.79,160.30
910,123.99,210,470,-150.0,30.0,-107.40,-196.53
911,124.10,212,477,-157.0,28.0,-137.62,18.97
919,125.07,322,382,-62.0,-82.0,-30.04,-88.25
932,126.68,308,243,77.0,-68.0,78.86,-52.66
933,126.80,312,232,88.0,-72.0,89.79,-64.65
934,126.92,317,182,138.0,-77.0,189.35,-69.50
935,127.10,318,161,159.0,-78.0,150.54,-63.51
936,127.24,316,146,174.0,-76.0,161.74,-57.79
937,127.36,314,131,189.0,-74.0,176.59,-55.81
938,127.49,310,118,202.0,-70.0,181.37,-49.92
939,127.60,301,105,215.0,-61.0,195.66,-32.42
940,127.72,284,93,227.0,-44.0,200.60,-8.28
941,127.85,255,74,246.0,-15.0,225.65,32.03
942,127.97,231,63,257.0,9.0,224.95,49.42
